Project Name,Change Frequency,Commit Count
leehomyc/Img2Img-Translation-Networks,13,2
tynguyen/unsupervisedDeepHomographyRAL2018,2,1
pykao/Modified-3D-UNet-Pytorch,3,1
jeya-maria-jose/KiU-Net-pytorch,518,7
bayesiains/nflows,53,19
schelotto/Gaussian_Word_Embedding,14,1
1Konny/VIB-pytorch,114,8
zijundeng/SRGAN,125,3
yihong-chen/lambda-opt,2,1
hpzhao/SummaRuNNer,67,13
FENGShuanglang/Pytorch_Medical_Segmention_Template,4,2
iapatil/depth-semantic-fully-conv,14,2
jettify/pytorch-optimizer,130,26
mariogeiger/hessian,71,15
meetshah1995/pytorch-semseg,793,77
miracleyoo/DPCNN-TextCNN-Pytorch-Inception,48,2
yukw777/leela-zero-pytorch,123,28
sjenni/LearningToSpotArtifacts,5,1
LevinJ/SSD_tensorflow_VOC,820,61
philipperemy/tensorflow-phased-lstm,159,17
ksanjeevan/crnn-audio-classification,121,6
Yukariin/NatSR_pytorch,137,15
idearibosome/srzoo,2,1
nickliqian/cnn_captcha,147,6
iduta/pyconv,20,2
ignacio-rocco/cnngeometric_pytorch,209,13
yukkyo/PyTorch-FilterResponseNormalizationLayer,38,8
fhopfmueller/bi-tempered-loss-pytorch,15,1
yuhaozhang/tacred-relation,22,1
CMU-CREATE-Lab/deep-smoke-machine,641,81
tensorlayer/seq2seq-chatbot,41,11
wang-xinyu/pytorchx,4,2
theduynguyen/Keras-FCN,3,2
CyberZHG/keras-gcn,53,8
lzx551402/tfmatch,17,1
marload/DeepRL-TensorFlow2,143,16
IBM/mi-prometheus,5146,654
wzell/mann,3,3
cameronfabbri/Autoencoder,70,8
greatgeekgrace/Technical-Analysis-And-Practice-in-TensorFlow,4,1
bojone/accum_optimizer_for_keras,2,1
dementrock/tensorfuse,119,15
miroblog/deep_rl_trader,2,1
vicwer/sense_classification,11,3
SelinaFelton/LightFaceNet,16,1
open-mmlab/mmskeleton,180,34
edgarriba/ali-pytorch,10,2
ferretj/temporal-ensembling,61,1
andreaazzini/segnet.tf,114,10
ndrplz/dilation-tensorflow,107,8
ry/tensorflow-vgg16,66,5
yaohungt/Adaptive-Regularization-Neural-Network,4,1
PWhiddy/Growing-Neural-Cellular-Automata-Pytorch,70,11
cyberneuron/RT-CNN-Vis,54,12
mohamedkeid/Texture-Synthesis,16,2
matsui528/sis,3,3
pbhatia243/Neural_Conversation_Models,1,1
EdGENetworks/anuvada,19,2
kamalkraj/Named-Entity-Recognition-with-Bidirectional-LSTM-CNNs,9,2
bkj/ulm-basenet,72,17
GianlucaPaolocci/Sound-classification-on-Raspberry-Pi-with-Tensorflow,150,8
jenspetersen/probabilistic-unet,43,1
bojone/pytorch_bert_to_tf,3,1
rarilurelo/pytorch_a3c,61,6
mosessoh/iconcolor,71,2
keras-team/keras-autodoc,5,4
hardikbansal/CycleGAN,1077,57
haixiansheng/unet-keras-for-Multi-classification,29,1
sagelywizard/snail,23,3
pangolulu/char-rnnlm-tensorflow,27,3
dalgu90/resnet-18-tensorflow,84,6
jingweiz/pytorch-dnc,31,6
markdtw/class-activation-mapping,9,1
autorope/donkeycar,3217,132
seathiefwang/MGN-pytorch,4,1
leftthomas/EMANet,32,9
TachibanaYoshino/Remote-sensing-image-semantic-segmentation-tf2,6,1
r9y9/wavenet_vocoder,294,67
Teoge/DMPR-PS,46,6
lshug/LearnToPayAttention-Keras,648,26
hyk1996/Single-Human-Parsing-LIP,58,1
titu1994/keras-switchnorm,14,1
skmhrk1209/RAN,69,10
idealo/imageatm,1,1
kaonashi-tyc/zi2zi,148,13
ajbrock/FreezeOut,10,1
eternagame/EternaBrain,573,16
j40903272/MalConv-keras,37,8
MayankSingal/Super-SlowMo,161,10
Ximilar-com/xcenternet,1,1
maciejczyzewski/neural-chessboard,7,3
ZZUTK/TensorFlow_VGG_train_test,31,8
xinntao/BasicSR,728,58
acids-ircam/ddsp_pytorch,196,8
alphadl/Neural-Machine-Translation,89,14
zhangqianhui/progressive_growing_of_gans_tensorflow,49,4
ElvishElvis/68-Retinaface-Pytorch-version,345,4
tonybeltramelli/Deep-Lyrics,5,1
sicara/gpumonitor,5,1
BrunoTh/ETS2Autopilot,4,2
CommissarMa/CSRNet-pytorch,17,2
lightaime/TensorAgent,15,4
Andrew03/transformer-abstractive-summarization,13,4
omoindrot/tensorflow-triplet-loss,285,17
swghosh/DeepFace,13,3
openseg-group/openseg.pytorch,311,6
roomylee/cnn-relation-extraction,255,10
yangxue0827/R2CNN_FPN_Tensorflow,30,5
pesser/edflow,249,52
sfujim/BCQ,123,3
wujiyang/MTCNN_TRAIN,61,4
titu1994/neural-architecture-search,92,6
jingkuan/SNLI-Keras,29,1
MarvinLSJ/LSTM-siamese,84,4
simontomaskarlsson/GAN-MRI,10,3
Ubiqus/tf_rnnlm,504,29
baumgach/acdc_segmenter,298,47
a1600012888/YOPO-You-Only-Propagate-Once,52,2
samueljamesbell/doc2vec,39,5
Sun-DongYang/Pytorch,33,8
DeepLearn-lab/Acoustic-Feature-Fusion_Chime18,39,2
creafz/pytorch-cnn-finetune,24,10
dengdan/pylib,138,26
Xilinx/graffitist,57,3
lonePatient/Bert-Multi-Label-Text-Classification,63,3
CaptainEven/FaceRecognition,2,1
marload/GANs-TensorFlow2,142,7
ValentinVignal/midiGenerator,583,96
mrdrozdov-github/pytorch-dynamic-batching,227,7
timbmg/Structured-Self-Attentive-Sentence-Embedding,21,1
Tong-ZHAO/Pixel2Mesh-Pytorch,269,11
thisisiron/nmt-attention-tf2,113,21
titu1994/MobileNetworks,218,27
damianmoore/photonix,13,2
tegg89/VAE-Tensorflow,12,1
TreezzZ/SDH_PyTorch,14,3
hadifar/GrammarCorrection,8,4
brannondorsey/midi-rnn,15,3
tlatkowski/neural-recommender,43,6
IronMastiff/YOLOv3_tensorflow,142,23
aitoralmeida/c4a_behavior_recognition,381,32
wonbeomjang/mobile-hair-segmentation-pytorch,150,18
PatrickZH/End-to-End-Incremental-Learning,8,1
CorentinJ/Real-Time-Voice-Cloning,591,48
sicara/tf-explain,56,19
integeruser/CASIA-HWDB1.1-cnn,4,2
guoyang9/NCF,23,5
KichangKim/DeepDanbooru,16,8
Cadene/skip-thoughts.torch,105,6
carpedm20/simulated-unsupervised-tensorflow,396,27
HadoopIt/rnn-nlu,121,4
mqtlam/dcgan-tfslim,79,6
fmu2/realNVP,12,4
DeokyunKim/Progressive-Face-Super-Resolution,4,3
HarukiYqM/pytorch-ZSSR,20,1
Messi-Q/Pytorch-extract-feature,15,1
i-machine-think/machine,228,64
Enjia/Spatial-Regularization-Network-in-Tensorflow,42,3
AnjieCheng/OctaveConv-Pytorch,14,3
yoosan/i3d-tensorflow,37,10
zhanlaoban/Text_Classification,6,2
jxhe/cross-lingual-struct-flow,648,52
carlthome/tensorflow-convlstm-cell,397,27
heromanba/3D-R2N2-PyTorch,51,3
SummitKwan/transparent_latent_gan,9,3
abr/lmu,112,7
gokriznastic/SegAN,115,2
bing0037/keras-yolo3,265,15
rwightman/pytorch-dpn-pretrained,70,7
seunghyunhan/Caser-tensorflow,26,1
hardyqr/CNN-for-Stock-Market-Prediction-PyTorch,252,17
VincentXWD/codebase-segmentation-pytorch,137,13
BobLiu20/YOLOv3_PyTorch,103,8
Natsu6767/Generating-Devanagari-Using-DRAW,99,10
tgsmith61591/smrt,177,15
ur-whitelab/hoomd-tf,1428,134
m516825/Conditional-GAN,3,1
drscotthawley/panotti,263,23
devsisters/pointer-network-tensorflow,104,10
zhangxiaosong18/FreeAnchor,9,2
jmhessel/catrank,2,2
hlzz/mirror,6,2
cics-nd/gptorch,321,30
IBM/powerai-transfer-learning,2,1
rishizek/tensorflow-deeplab-v3-plus,264,32
heshenghuan/LSTM-CRF,426,32
dev4488/VAE_gumble_softmax,1,1
RamaneekGill/Emotion-Recognition,23,1
cv-lee/Camelyon17,49,3
rarilurelo/keras_improved_wgan,15,1
jellycsc/PyTorch-CIFAR-10-autoencoder,18,3
yangyuke001/FIIQA-PyTorch,60,5
titipata/detecting-scientific-claim,38,15
mcQA-suite/mcQA,27,2
salihkaragoz/pose-residual-network-pytorch,9,4
nosyndicate/pytorchrl,108,12
klauspa/Yolov4-tensorflow,13,2
upul/Semantic_Segmentation,100,10
fionn-mac/Manhattan-LSTM,44,3
CharlieDinh/pFedMe,104,27
maxpumperla/hyperas,22,6
p0werHu/articulated-objects-motion-prediction,1696,39
tomrunia/ClockworkRNN,70,3
preritj/progressive_growing_of_GANs,42,2
Kyubyong/expressive_tacotron,6,3
liangyihuai/my_tensorflow,174,10
romavlasov/face-recognition-pipeline,10,4
krumo/Domain-Adaptive-Faster-RCNN-PyTorch,17,2
ultralytics/xview-yolov3,1326,223
annahung31/MidiNet-by-pytorch,3,2
tensorlang/tensorlang,190,24
fujikosu/aml-keras-image-recognition,32,5
yihong-chen/DREAM,3,1
kamwoh/face_recognition,65,3
arashwan/matrixnet,1,1
clovaai/CutMix-PyTorch,6,1
marload/ConvNets-TensorFlow2,18,2
lukemelas/image-paragraph-captioning,731,58
imhuay/tensorflow_template,161,10
zfjsail/gae-pytorch,23,3
fregu856/evaluating_bdl,27,6
lippman1125/pytorch_FAN,107,12
anibali/dsntnn,31,9
miemie2013/Keras-SOLO,246,17
rekon/T3D-keras,40,2
netrack/tensorcraft,8,5
zfit/phasespace,615,56
hthuwal/sign-language-gesture-recognition,15,3
jindongwang/Pytorch-CapsuleNet,18,2
manojpamk/pytorch_xvectors,161,7
MINGUKKANG/MNIST-Tensorflow-Code,12,1
2014mchidamb/TorchGlove,2,1
Barbany/Multi-speaker-Neural-Vocoder,653,67
CoinCheung/SphereReID,75,13
calmisential/TensorFlow2.0_ResNet,157,18
SomeoneDistant/Lightweight-Face-Recognition,142,12
elvisyjlin/AttGAN-PyTorch,33,10
ZhiwenShao/PyTorch-JAANet,28,1
nai-kon/cnn-digit-recognition-webapp,24,4
google/tangent,18,1
HiKapok/tf.fashionAI,1321,14
showkeyjar/chinese_im2text.pytorch,3,1
kevinzakka/torchnca,138,15
vacancy/AdvancedIndexing-PyTorch,29,3
jiangnanboy/albert_lstm_crf_ner,55,5
jiasenlu/NeuralBabyTalk,409,7
lonePatient/electra_pytorch,25,6
conan7882/adversarial-autoencoders,204,15
ZhixiuYe/HSCRF-pytorch,13,4
JiageWang/hand-writing-recognition,112,6
StanislasBertrand/RetinaFace-tf2,49,3
flyyufelix/DenseNet-Keras,2,1
hendrycks/robustness,49,1
developmentseed/fastai-serving,5,2
nmasse/Short-term-plasticity-RNN,4228,146
auroua/tf_rfcn,272,11
ainrichman/Peppa-Facial-Landmark-PyTorch,3,1
jingli9111/GORU-tensorflow,1197,6
elggem/tensorflow_node,684,51
cramerlab/boxnet,49,1
cvlab-epfl/tf-lift,48,1
mravanelli/SincNet,107,7
pekaalto/sc2aibot,103,2
ameybarapatre/ANFIS,32,2
MorvanZhou/tfnn,115,8
BBVA/timecop,107,15
Svito-zar/NN-for-Missing-Marker-Reconstruction,1100,64
monniert/dti-clustering,54,3
titu1994/Keras-IndRNN,25,4
ydataai/ydata-synthetic,35,10
masus04/Deep-Reinforcement-Learning-for-Boardgames,261,46
Kyubyong/tacotron,283,16
leobxpan/Occluded-Person-ReID,30,8
uzkent/EfficientObjectDetection,158,18
amir-abdi/keras_to_tensorflow,25,7
chencodeX/RNN_Pytorch,33,2
1Konny/FGSM,102,7
akanimax/attn_gan_pytorch,91,4
puke3615/VideoHunter,8,4
keunwoochoi/music-auto_tagging-keras,53,8
lukalabs/cakechat,61,1
hassyGo/pytorch-playground,124,12
indiejoseph/tf-rda-cell,54,1
tlatkowski/gans-2.0,754,87
ForoughA/recursiveMemNet,2,1
donfaq/cnn-rnn,412,31
gabrieltseng/pycrop-yield-prediction,74,9
ClementPinard/FlowNetPytorch,209,38
wyu-du/ARCII-for-Matching-Natural-Language-Sentences,30,4
kailigo/cvcZSL,19,1
srijankr/jodie,1,1
yearing1017/UAVI_Seg_Pytorch,19,4
knjcode/pytorch-finetuner,31,6
chyacinth/pytorch_3DCNN_Lung,50,5
Officium/RL-Experiments,734,38
michaildoukas/head2head,40,7
JingqingZ/KG4ZeroShotText,173,16
xuzheyuan624/yolov3-pytorch,10,2
leimao/Frozen_Graph_TensorFlow,19,5
aboev/arae-tf,30,2
keplr-io/picard,10,8
meijieru/crnn.pytorch,44,7
zx950519/CNN-in-Keras,289,5
JingzhaoZhang/why-clipping-accelerates,77,12
ModelZoo/ModelZoo,105,14
ywpkwon/siamese_tf_mnist,35,3
pmorerio/dl-uncertainty,155,11
JoeHEZHAO/Optical-Flow-Guided-Feature-Pytorch,4,1
foamliu/Speaker-Embeddings,85,24
MisaOgura/MRNet,87,32
guigzzz/Keras-Yolo-v2,69,9
vadimkantorov/ctc,239,11
stefanopini/simple-HRNet,76,13
jgung/semantic-role-labeling,348,35
deepset-ai/FARM,324,66
610265158/mobilenetv3_centernet,1549,103
lasobrinho/Sentiment-Analysis-CNN-PTBR,33,7
mandeer/Detector,133,31
PINTO0309/MobileNetV2-PoseEstimation,22,6
DeepWisdom/AutoDL,38,4
taki0112/StackGAN-Tensorflow,8,1
coderSkyChen/Iterative-Visual-Reasoning.pytorch,29,3
Ha0Tang/XingGAN,1,1
jik0730/MAML-in-pytorch,20,1
lonePatient/lookahead_pytorch,37,2
scheckmedia/cgp-cnn-design,115,24
cyvius96/few-shot-meta-baseline,4,1
plkmo/AlphaZero_Connect4,3,2
burliEnterprises/tensorflow-video-classifier,2,1
younggyoseo/Ape-X,3,3
penny4860/Kitti-road-semantic-segmentation,83,21
sunset1995/pytorch-layoutnet,142,22
lorenmt/shape-adaptor,23,1
FengZiYjun/CharLM,177,22
grebtsew/Object-and-facial-detection-in-python,12,6
GLambard/AdamW_Keras,1,1
kmkurn/pytorch-rnng,272,29
recognai/biome-text,72,22
philipperemy/keract,85,30
SaoYan/LearnToPayAttention,95,6
jordipons/music-audio-tagging-at-scale-models,168,5
4uiiurz1/pytorch-adacos,55,7
awni/transducer,2,1
CannyLab/rinokeras,1529,192
NVIDIA/pix2pixHD,18,10
qlemaire22/music-generation,194,21
bubbliiiing/ssd-keras,40,13
tomguluson92/StyleGAN_PyTorch,162,13
aloyschen/tensorflow-yolo3,555,12
eridgd/WCT-TF,638,37
JJBOY/TSN-pytorch,12,4
eragonruan/text-detection-ctpn,168,12
Ze-Yang/Context-Transformer,548,31
jsikyoon/programmable-agents_tensorflow,717,16
unilight/R-NET-in-Tensorflow,109,2
aaron-xichen/pytorch-playground,50,4
wolfib/image-classification-CIFAR10-tf,15,3
YCG09/chinese_ocr,1,1
tensorpack/tensorpack,6122,900
transedward/pytorch-dqn,72,18
lpcinelli/foreground-segmentation,194,27
wildltr/ptranking,471,14
funcwj/voice-filter,6,1
RaphaelMeudec/deblur-gan,9,3
yhhhli/APoT_Quantization,35,9
b04901014/waveglow-tensorflow,25,3
dontLoveBugs/Deeplab_pytorch,204,15
GBLin5566/toward-controlled-generation-of-text-pytorch,185,14
simon3dv/frustum_pointnets_pytorch,633,26
NYUMedML/GNN_for_EHR,15,1
breizhn/DTLN,48,8
yrlu/irl-imitation,7,1
yzwxx/vae-celebA,1,1
HKUST-KnowComp/MnemonicReader,69,3
desimone/segmentation-models,21,1
schatty/d4pg-pytorch,298,24
linchuming/ImageSR-Tensorflow,23,1
zwenwang/CTPN_Pytorch,140,21
deepdrive/deepdrive,436,49
seungjunlee96/PointNet2_RandAugment,21,4
sugyan/tf-face-recognizer,1438,120
yl-1993/Matrix-Capsules-EM-PyTorch,17,3
ardamavi/Dog-Cat-Classifier,87,11
xblaster/tensor-guess,2,1
titu1994/keras-SparseNet,17,2
S-aiueo32/srntt-pytorch,7,2
csc-training/intro-to-dl,237,37
actumn/touhou10-dqn,64,10
xtma/simple-pytorch-rl,22,1
iliaschalkidis/ELMo-keras,65,7
JindongJiang/SCALOR,2,1
peisuke/MomentumContrast.pytorch,2,1
mehtanihar/pspnet,36,1
vzhong/chainer2pytorch,12,3
wslc1314/TextSentimentClassification,52,1
muyang0320/tensorflow-deeplab-resnet-crf,23,5
liuyuemaicha/simple_faster_rcnn,5,1
Byronnar/tensorflow-serving-yolov3,18,5
yanwii/ChineseNER,30,3
rkargon/Dope-Learning,39,5
nyumaya/nyumaya_audio_recognition,12,3
nikhilbarhate99/Deterministic-GAIL-PyTorch,6,1
Ralmohsen/OSRAAE,11,6
Media-Smart/vedacls,1,1
bkj/basenet,254,42
sunset1995/HorizonNet,91,11
supernnova/SuperNNova,597,55
yukitsuji/3D_CNN_tensorflow,269,8
JusperLee/Dual-Path-RNN-Pytorch,85,6
WindQAQ/listen-attend-and-spell,48,3
akkaze/tf2-yolo3,110,12
lc82111/Active-Contour-Loss-pytorch,13,3
AnubhavGupta3377/Text-Classification-Models-Pytorch,89,3
dkumazaw/mobilenetv3-pytorch,251,48
fregu856/3DOD_thesis,108,11
khanrc/pt.darts,45,3
Mid-Push/Moving-Semantic-Transfer-Network,6,1
cv-lee/BraTs,151,16
carpedm20/attentive-reader-tensorflow,191,18
xapharius/pytorch-nyuv2,3,2
google-research/electra,48,4
sootlasten/beta-vae,3,1
Golden-Retrieval/DeLF-easy-training,47,11
guoguo12/tensorflow-fcwta,128,21
iwyoo/TPS_STN-tensorflow,122,2
lephong/tf-meanshift,17,1
TropComplique/FaceBoxes-tensorflow,196,12
gregwchase/eyenet,282,60
DongyaoZhu/VQ-VAE-WaveNet,537,25
iver56/image-regression,14,4
brain-research/ncp,7,2
djosix/Performance-RNN-PyTorch,107,17
kauziishere/lowLightImageEnhancement,12,1
Carldeboer/CisRegModels,268,1
KienHuynh/FCN-CTSCAN,179,19
rafellerc/Pytorch-SiamFC,9,4
maestrojeong/deformable_convnet,80,1
ashual/scene_generation,24,6
opteroncx/SESR,7,2
maciejkula/spotlight,406,67
dylandjian/SuperGo,111,20
assafmu/wav2letter_pytorch,126,23
brightmart/ai_law,370,27
XiaohangZhan/conditional-motion-propagation,54,5
anoidgit/transformer,1269,38
jcklie/keras-autoencoder,6,2
mori97/VaDE,71,9
jazzsaxmafia/dcgan_tensorflow,94,6
n0obcoder/Skip-Gram-Model-PyTorch,14,1
vicwer/C3AE_Age_Estimation,72,9
durandtibo/wildcat.pytorch,3,1
galsang/BIMPM-pytorch,122,7
hli1221/imagefusion_densefuse,18,3
idealo/image-quality-assessment,3,3
kngwyu/Rainy,399,112
haamoon/finding_common_object,48,1
uidilr/gail_ppo_tf,80,15
LeeJunHyun/Image_Segmentation,15,2
prlz77/vgg-face.pytorch,11,1
bohaohuang/mrs,463,59
xiaogp/track_sequence_anomaly_detection,3,1
tpbarron/pytorch-a2c,40,9
greentfrapp/keras-aae,9,4
KaihuaTang/VQA2.0-Recent-Approachs-2018.pytorch,73,4
wanghm92/Sing_Par,61,9
paulx3/keras_seq2seq_word_level,23,4
brianvanleeuwen/Halite-ML-starter-bot,20,4
Harrypotterrrr/DVD-GAN,308,54
Swall0w/torchstat,14,5
yihui-he/recursive-neural-network,28,2
speedinghzl/CCNet,72,5
lk485/matgcn,41,9
benkrause/dynamic-evaluation,21,3
raufer/bert-summarization,196,14
2012013382/C3D-Tensorflow-slim,1,1
kopopt/fast_tffm,42,3
DeepInEvil/webCamEmocognizer,1,1
erobic/ramen,89,14
khanrc/tf.gans-comparison,261,31
musket-ml/segmentation_training_pipeline,45,8
Leavingseason/OpenLearning4DeepRecsys,3,2
weirme/Video_Summary_using_FCSN,49,10
tugstugi/mongolian-speech-recognition,126,45
zhengyang-wang/GVTNets,111,18
sanyam5/skip-thoughts,37,5
lx865712528/LM-CNLC,37,3
RBirkeland/MVCNN-PyTorch,40,6
naiveHobo/InvoiceNet,715,12
emanuelegiona/neural_WSD,1,1
CeLuigi/models-comparison.pytorch,317,32
runopti/Learning-To-Learn,22,1
vuptran/sesemi,28,2
yanbeic/VAL,2,1
josharnoldjosh/Image-Caption-Joint-Embedding,70,10
sebastianbk/finetuned-resnet50-keras,2,1
alexandra-chron/siatl,2,1
alanwang93/seq2seq-pytorch,184,24
weleen/AGRL.pytorch,2,1
yanwii/ChinsesNER-pytorch,146,8
GilesStrong/lumin,139,39
lcswillems/torch-ac,2,1
sicara/tf2-evonorm,75,12
polarisZhao/PFLD-pytorch,71,11
MVIG-SJTU/AlphAction,59,2
artem-oppermann/Deep-Autoencoders-For-Collaborative-Filtering,19,2
JayYip/bert-multitask-learning,1559,152
criteo/deepr,350,30
assassint2017/MICCAI-LITS2017,47,3
yusugomori/deeplearning-tf2,180,22
taki0112/SENet-Tensorflow,8,2
DylanModesitt/political-sentiment,21,5
CyberZHG/keras-word-char-embd,60,11
alibaba-edu/simple-effective-text-matching,3,1
guanfuchen/cifarclassify,75,11
f-dangel/backpack,1100,269
akurniawan/pytorch-transformer,219,32
supercoderhawk/DeepLearning_NLP,418,29
dulaku/ProGAN-for-Humans,8,4
szq0214/MEAL-V2,3,1
ColinShaw/python-keras-encoder-decoder-unet,79,1
AdrianHsu/tensorflow-chatbot-chinese,665,60
iamyuanchung/Autoregressive-Predictive-Coding,4,1
timomernick/pytorch-capsule,31,8
XanaduAI/quantum-neural-networks,90,8
LokLu/Tensorflow-data-loader,1,1
daiquocnguyen/ConvKB,69,4
deephyper/deephyper,1432,189
demelin/Sentence-similarity-classifier-for-pyTorch,50,3
JonasStankevicius/ConvPoint_Keras,24,3
woodrush/neural-art-tf,2,1
alexis-jacq/Pytorch-DPPO,137,8
GabrielBianconi/pytorch-rbm,10,2
soujanyaporia/multimodal-sentiment-analysis,237,14
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,56,7
dannysdeng/selu,1,1
leebebeto/pytorch-GAN,79,5
hartmetzls/audio_to_midi,60,15
hyeongyuy/CT-WGAN_VGG_tensorflow,28,3
gabrieleilertsen/hdrcnn,5,4
d-li14/mobilenetv2.pytorch,27,2
brianlan/pytorch-grad-norm,41,2
sacmehta/EdgeNets,45,8
YCG09/tf-text-classification,14,3
Junqi-Zhang/AETN,2,1
wang5150753/tensorflow,56,2
mathDR/reading-text-in-the-wild,1,1
mikel-brostrom/Yolov3_DeepSort_Pytorch,877,289
hao-qiang/GANimation-tf,39,6
synxlin/nn-compression,105,11
deepsphere/deepsphere-pytorch,7,2
sakares/keras-fine-tune-cat-dog-vgg16,8,3
abojchevski/paican,19,1
sxhxliang/BigGAN-pytorch,16,2
jxhe/struct-learning-with-flow,71,4
bhansconnect/alpha_zero_othello,38,4
galsang/CNN-sentence-classification-pytorch,60,6
smaranjitghose/auto_vaidya,8,2
ChengBinJin/VAE-Tensorflow,5,1
AidanGG/tensorflow_tmva,341,25
xchhuang/simple-pytorch-3dgan,1,1
katsura-jp/efficientnet-pytorch,7,3
ayooshkathuria/PyTorch-YOLO-v2,232,35
philipperemy/keras-snail-attention,33,9
zhaogangthu/keras-yolo3-ocr-tensorrt,2,1
CAMeL-Lab/camel_tools,21,3
usernaamee/keras-wavenet,63,8
mikigom/WGAN-LP-tensorflow,22,4
nabeel-oz/qlik-py-tools,47,15
d-li14/mobilenetv3.pytorch,34,5
bhaveshoswal/CNN-text-classification-keras,25,2
tuvovan/Zero_DCE_TF,29,2
XiuweiHe/EmotionClassifier,39,2
seasonSH/Probabilistic-Face-Embeddings,1,1
cszn/KAIR,28,4
budzianowski/multiwoz,12,1
titu1994/keras-attention-augmented-convs,25,4
hiyouga/RepWalk,11,1
rivasd/eeglstm,36,9
varunagrawal/tiny-faces-pytorch,61,27
shamangary/SSR-Net,90,5
orobix/Prototypical-Networks-for-Few-shot-Learning-PyTorch,140,24
codekansas/gandlf,529,38
sacmehta/ESPNetv2,11,4
meetshah1995/crnn-music-genre-classification,1,1
mapleneverfade/pytorch-semantic-segmentation,27,7
kwon-young/pytorch-nsynth,4,1
mkavim/finetune_bert,175,19
jaywalnut310/glow-tts,32,3
chen0040/keras-chatbot-web-api,50,8
ImMrMa/SegCaps.pytorch,33,1
taki0112/StableGAN-Tensorflow,2,1
CyberZHG/keras-bert,342,59
jvanvugt/pytorch-domain-adaptation,96,2
rootkitchao/mnasnet_tensorflow,1,1
sara-nl/attention-sampling-pytorch,17,1
AKSHAYUBHAT/DeepVideoAnalytics,338,51
mhfu0/ADLxMLDS2017,197,17
codekansas/keras-resnet,44,4
divamgupta/image-segmentation-keras,91,15
TommyAnqi/YOLOv3-Pytorch,30,2
tuan3w/spleeter-pytorch,50,4
LinZhuoChen/DUpsampling,34,11
xinjli/allosaurus,7,2
Kylin9511/CRNet,4,1
taki0112/UGATIT,9,3
ashwhall/dsnt,20,4
NoelDeMartin/Japanese-Character-Recognition,32,4
HEmile/storchastic,198,41
leftthomas/DANet,44,4
emla2805/vision-transformer,13,6
ildoonet/deepface,515,33
tensorflow/quantum,120,20
lon9/waifu2x-keras,1,1
Zeta36/tensorflow-image-wavenet,7,2
felipessalvatore/self_driving_pi_car,150,12
nuclearboy95/Anomaly-Detection-Deep-SVDD-Tensorflow,8,2
poojahira/image-captioning-bottom-up-top-down,11,5
mhwilder/tf-keras-gcloud-deployment,10,1
GuidoPaul/Android-Tensorflow-Style-Transfer,2,1
liuguiyangnwpu/DL.EyeSight,729,27
Cadene/tensorflow-model-zoo.torch,91,6
SPINLab/geometry-learning,1071,187
Lotayou/densebody_pytorch,73,5
timbmg/Sentence-VAE,19,7
MarlonCajamarca/Keras-LSTM-Trajectory-Prediction,2,1
Gaozhongpai/PaiConvMesh,82,6
pyprob/pyprob,2025,275
keetsky/Net_ghostVLAD-pytorch,10,1
gkchai/GestureRecognition,184,6
hhsecond/HandsOnDeepLearningWithPytorch,531,64
caimingxie/h5_to_weight_yolo3,1,1
lccasagrande/Deep-Knowledge-Tracing,46,9
dirkweissenborn/genie-kb,943,97
jnafzig/HamiltonianSolver,78,4
heartcored98/transformer_anatomy,14,5
chen0040/keras-video-classifier,102,19
maxnoodles/CNN_Gesture,35,4
foamliu/Reading-Comprehension,62,3
mjacar/pytorch-nec,50,2
dmarnerides/pydlt,202,16
skmhrk1209/PGGAN,362,48
neka-nat/vin-keras,17,3
taki0112/ResNet-Tensorflow,18,4
dashayushman/TAC-GAN,87,13
Atomu2014/product-nets,547,21
includeamin/COVID-19,1,1
imfht/test_cnn,9,2
loicland/superpoint_graph,117,12
CoinCheung/triplet-reid-pytorch,160,19
sagar448/Self-Driving-Car-3D-Simulator-With-CNN,8,1
golbin/WaveNet,3,1
AlexYangLi/ABSA_Keras,226,6
zzh142857/SiameseFC-tf,472,27
Tony607/Keras_age_gender,2,2
tanulsingh/Humour.ai-Language-model-that-can-crack-Jokes,15,1
TensorSpeech/TensorFlowTTS,2180,154
ferreirafabio/video2tfrecord,19,4
codekansas/seqgan-text-tensorflow,101,4
felixSchober/Defect-Prediction,146,5
psyec1/Lipreading-PyTorch,115,14
tau-yihouxiang/WS_DAN,4,1
otenim/TensorFlow-OS-ELM,233,24
IDKiro/Attack-ImageNet,84,12
COMP6248-Reproducability-Challenge/selfsupervised-denoising,299,32
ruiminshen/yolo-tf,1220,63
dreamgonfly/Transformer-pytorch,146,20
sevakon/efficientdet,227,19
ChenglongChen/tensorflow-ASP-MTL,17,1
manuelmolano/Spike-GAN,15,2
saiwaiyanyu/bi-lstm-crf-ner-tf2.0,15,2
pseeth/torch-stft,37,6
zekun-li/keras-fast-rcnn,203,13
amalF/deep_stereo_matching,3,1
dreamquark-ai/tabnet,334,54
yselivonchyk/TensorFlow_DCIGN,368,37
viswanathgs/dist-dqn,70,8
winfredsu/quant_aware_training,33,4
allanj/pytorch_lstmcrf,265,26
TropComplique/single-shot-detector,616,37
yqyao/FCOS_PLUS,177,28
google-research/uda,21,4
puyash/two-stream-cnn,7,2
EvilPsyCHo/Deep-Time-Series-Prediction,41,4
deep-machine-learning/Retrained-InceptionV3,105,1
